feature,H,D,A
(Intercept),0.3013,-0.1568,-0.1445
p_fav,0,0,0
p_long,0,0,0
q_draw,-0.08303,0.1243,-0.04128
entropy,0,0,0
log_ratio,0,0,0
home_skew,0.4414,0.05633,-0.4977
overround,0,0,0
disagree_H,0.005934,-0.007956,0.002022
disagree_A,-0.005345,-0.003771,0.009116
home_gf_5,0,0,0
home_ga_5,0,0,0
home_gd_5,0,0,0
home_win_rate_5,0,0,0
home_draw_rate_5,0,0,0
home_ppg_5,0,0,0
home_sot_5,0.02405,-2.336e-4,-0.02382
home_gf_10,-0.01206,-8.361e-4,0.0129
home_ga_10,-0.01005,0.002372,0.007676
home_gd_10,0,0,0
home_win_rate_10,-0.0134,0.01078,0.002617
home_draw_rate_10,0,0,0
home_ppg_10,-0.007838,0.006695,0.001143
home_sot_10,0,0,0
away_gf_5,0,0,0
away_ga_5,0,0,0
away_gd_5,-0.01121,0.02311,-0.0119
away_win_rate_5,0.001732,0.001508,-0.00324
away_draw_rate_5,0,0,0
away_ppg_5,0,0,0
away_sot_5,0,0,0
away_gf_10,0,0,0
away_ga_10,0,0,0
away_gd_10,0,0,0
away_win_rate_10,0.006307,-0.001925,-0.004382
away_draw_rate_10,-0.001671,0.001379,2.922e-4
away_ppg_10,0,0,0
away_sot_10,0,0,0
Regime_2,0,0,0
Regime_3,0,0,0
Regime_4,0.005804,-3.441e-4,-0.00546
