feature,impurity
home_skew,959.5
q_draw,538
overround,536.3
p_long,535.9
disagree_A,533.1
disagree_H,528
p_fav,513.7
entropy,512.1
log_ratio,504.3
away_gd_10,449.6
away_sot_10,437.7
home_gd_10,427.4
home_sot_10,417.3
away_sot_5,377.9
home_sot_5,372.6
home_gd_5,352.7
away_gd_5,350.4
away_gf_10,330.8
away_ppg_10,321.9
away_ga_10,320
home_gf_10,318.2
home_ga_10,316.3
home_ppg_10,300.9
home_ga_5,271.9
away_ga_5,262.1
away_gf_5,261.9
home_gf_5,259.1
away_ppg_5,240.4
home_ppg_5,236.9
home_draw_rate_10,202.2
away_draw_rate_10,197.3
away_win_rate_10,176.3
home_win_rate_10,162.5
away_draw_rate_5,146
home_draw_rate_5,145.6
home_win_rate_5,111.8
away_win_rate_5,110.5
Regime,48.09
