feature,Gain,Cover,Frequency
home_skew,0.3767,0.182,0.05188
p_long,0.07032,0.08065,0.06
entropy,0.06301,0.05547,0.02934
log_ratio,0.04848,0.04212,0.02851
away_gd_10,0.04431,0.02763,0.03149
p_fav,0.04293,0.05022,0.03415
q_draw,0.03507,0.08238,0.04525
disagree_A,0.02364,0.03758,0.05486
home_gd_10,0.02219,0.02184,0.0295
overround,0.02211,0.03409,0.05486
away_sot_10,0.02158,0.02651,0.04144
disagree_H,0.0208,0.02833,0.05221
away_sot_5,0.01726,0.04495,0.04227
home_sot_5,0.01704,0.0332,0.03879
home_sot_10,0.01248,0.01679,0.03166
home_gf_10,0.0112,0.02549,0.02669
away_gf_10,0.01116,0.01187,0.02453
home_gd_5,0.01115,0.0199,0.02503
home_ppg_10,0.01097,0.01748,0.02171
home_ga_10,0.01084,0.01712,0.02834
away_ga_10,0.0106,0.01285,0.02619
away_ppg_10,0.01014,0.01435,0.02055
away_gd_5,0.00998,0.01658,0.0237
home_ga_5,0.009746,0.01175,0.02486
home_gf_5,0.007982,0.01134,0.02155
Regime_2,0.006998,0.00166,4.973e-4
away_ga_5,0.005912,0.007643,0.01575
home_ppg_5,0.00574,0.007518,0.01425
away_ppg_5,0.005365,0.007424,0.01359
away_gf_5,0.005154,0.008071,0.01425
away_draw_rate_10,0.004957,0.009973,0.01243
home_draw_rate_10,0.004295,0.003891,0.0116
away_win_rate_10,0.003881,0.006642,0.008619
home_win_rate_5,0.003639,0.003595,0.008454
away_draw_rate_5,0.003572,0.006456,0.009614
home_draw_rate_5,0.003382,0.003613,0.008619
home_win_rate_10,0.003373,0.009224,0.007956
away_win_rate_5,0.00162,0.001537,0.003978
Regime_4,4.33e-4,2.562e-4,9.945e-4
